iter	Passed	Remaining
0	153	122317
1	174	69554
2	199	52885
3	222	44214
4	244	38898
5	265	35164
6	289	32800
7	317	31428
8	343	30173
9	375	29677
10	401	28789
11	426	27995
12	449	27241
13	473	26578
14	496	25970
15	519	25475
16	547	25222
17	582	25313
18	608	24997
19	630	24603
20	653	24232
21	676	23925
22	700	23663
23	726	23490
24	748	23208
25	772	22982
26	802	22987
27	829	22881
28	851	22642
29	874	22454
30	898	22285
31	920	22091
32	944	21944
33	969	21852
34	992	21697
35	1024	21747
36	1050	21670
37	1081	21678
38	1108	21621
39	1131	21492
40	1153	21347
41	1176	21227
42	1202	21163
43	1226	21078
44	1252	21021
45	1277	20939
46	1298	20802
47	1320	20694
48	1343	20585
49	1365	20477
50	1386	20363
51	1406	20238
52	1428	20135
53	1454	20098
54	1487	20154
55	1509	20059
56	1534	20003
57	1557	19929
58	1581	19856
59	1604	19791
60	1628	19727
61	1651	19659
62	1678	19640
63	1707	19632
64	1730	19568
65	1752	19495
66	1775	19425
67	1798	19360
68	1821	19296
69	1844	19231
70	1866	19164
71	1894	19156
72	1921	19138
73	1943	19066
74	1969	19041
75	1994	18995
76	2018	18951
77	2042	18904
78	2066	18860
79	2089	18806
80	2114	18768
81	2139	18737
82	2162	18680
83	2185	18632
84	2209	18583
85	2232	18538
86	2241	18371
87	2263	18314
88	2286	18266
89	2309	18221
90	2337	18214
91	2371	18248
92	2413	18344
93	2438	18314
94	2466	18301
95	2492	18275
96	2518	18250
97	2547	18246
98	2574	18226
99	2601	18211
100	2629	18199
101	2661	18211
102	2690	18203
103	2716	18181
104	2744	18166
105	2772	18155
106	2804	18163
107	2830	18136
108	2854	18093
109	2880	18068
110	2914	18088
111	2944	18085
112	2969	18051
113	2992	18008
114	3017	17971
115	3044	17953
116	3068	17913
117	3092	17873
118	3116	17833
119	3143	17812
120	3170	17791
121	3194	17752
122	3203	17631
123	3225	17582
124	3248	17539
125	3268	17485
126	3292	17446
127	3316	17409
128	3339	17373
129	3369	17364
130	3397	17349
131	3420	17311
132	3444	17275
133	3467	17234
134	3490	17195
135	3515	17163
136	3541	17140
137	3566	17108
138	3588	17066
139	3615	17043
140	3638	17004
141	3661	16965
142	3682	16921
143	3706	16886
144	3728	16843
145	3737	16742
146	3759	16698
147	3781	16657
148	3806	16633
149	3832	16608
150	3860	16590
151	3893	16598
152	3926	16603
153	3949	16566
